clj-amazonica.csv,clj-faraday.csv,go.csv,node.csv,python.csv
11.318516,7.840627,3.81766,62,5.683080999915546
12.755302,7.777332,2.992852,52,5.462508999698912
12.131912,9.141954,3.066983,48,6.178806999741937
10.900883,7.043956,3.83376,57,6.144468999991659
12.678333,7.169848,3.640834,53,5.2188790004947805
12.87824,181.469257,3.719763,48,5.90379799996299
11.561133,7.125716,3.629143,58,5.990073999782908
11.936583,7.266032,3.835694,60,6.113733000347565
16.171461,7.776642,3.142888,72,5.954495999503706
14.285104,7.839846,3.97242,62,6.128598000032071
12.736114,7.243329,3.671192,74,6.0581859997910215
11.968391,7.164183,3.729427,54,5.894885000088834
11.586964,7.100672,3.630631,52,5.894189999708033
12.529262,7.926456,3.996066,77,5.163132000234327
12.692993,7.723765,4.192409,50,5.136656000104267
13.146361,7.757971,4.907923,55,6.067243999495986
12.021102,7.136301,4.910921,76,6.1926870002935175
12.672521,7.158766,3.016981,54,6.173302000206604
11.769996,7.783806,5.112986,49,6.17146300010063
